;S_times;d_dates;groups;p_times;r_dates
0;95.11705691695327;111822.49119964115;79;145.08699107964964;38216.99508515483
1;74.31157204054458;125556.36199043339;58;177.84847520789089;119204.40152506062
2;174.62056766761955;94570.46522892636;44;395.01362906492966;51341.3339720293
3;60.92180677151626;107388.24071772397;91;132.77301888630066;71916.23963548466
4;46.730500109072764;89466.39524858921;99;123.12538519701688;13278.036135567721
5;3.3556773477242703;109386.1431905954;11;4.649721014771535;12134.647510022516
6;143.71023469338442;98922.39109816369;41;336.03587493403245;201.0188596947184
7;47.821067534112856;88720.1902615025;85;76.37562986542233;12920.736998336117
8;283.4891123763254;98378.18807210354;6;450.316621870229;40106.39035986069
9;162.2342868080596;115520.35453760959;66;462.6429121591672;89909.94493698631
10;25.490710175264727;97843.98838639737;47;36.04309401162119;19682.774252639905
11;65.65340499907602;113406.23800073992;92;120.83341812177042;22411.44778192881
12;51.22271197604605;105488.0288128555;12;134.3125239704767;93026.25832368176
13;164.9460414208065;101862.67978780797;15;487.19335673406;3654.771817714028
14;98.56511758147685;91076.33341187028;1;237.7763988067305;6893.895406983138
15;286.6326983041868;97745.35727874158;42;444.22417278004303;94052.09339084207
16;302.9512255268408;98563.27490524222;53;467.40786658467925;20044.319383616086
17;114.08909860979892;116986.62794336396;55;191.15321043942657;21331.83984123708
18;263.2684469943556;97829.70599484531;54;465.9582748553272;4424.397340856664
19;204.95149348177026;97334.6379225319;42;327.11081933499094;95854.35804571067
20;198.908706653823;99283.76120852317;13;339.5439646662891;52634.809695036725
21;2.844605072275062;123703.69703574892;45;7.80605922445866;39615.20295013169
22;21.311412351625158;118543.85704156113;19;62.44474437080532;87878.601032825
23;171.7571121860885;123672.49959431378;89;364.4390400136372;35362.518303862875
24;65.98944347966092;125093.01901604966;44;187.16647779736448;92600.11665695079
25;118.4078363010519;119933.18094303132;61;172.94750343299333;1571.441538515553
26;291.4588818914243;100132.584684336;83;473.3049537104937;82281.16415606951
27;53.064869907610756;101601.92685886429;39;77.37281918588944;30104.841557539257
28;212.9554475593536;120410.25058887064;57;485.5952481091457;116194.61617188633
29;59.65873487306278;97458.96441893994;42;200.5498843639404;5609.558527503678
30;93.14698567499207;112241.92901421298;11;303.09063081982043;81734.42328254072
31;63.21663444437925;116351.61272831858;21;245.899274883863;112998.88244721488
32;314.66908194054565;115632.9152560663;61;481.5509250603881;73791.87113625174
33;231.79377226287798;96733.10261307788;26;385.63633364401426;67214.44752943773
34;77.2688326992832;108013.72159641137;96;279.0305568664545;53927.246826665694
35;12.597392231470778;122560.5545441728;45;45.70836774005569;113769.32443869201
36;43.20046904193153;107676.01669920194;18;71.96962239274379;43578.223746417694
37;69.38830217449957;115259.33053695307;36;249.83215455042304;47349.92999411246
38;331.30763708610624;101387.63450353737;30;457.0305842311478;47669.01976977495
39;35.232833563297895;123218.74956203677;98;94.60812844863685;25092.952459654545
40;30.530456360335005;111647.62733332312;12;76.9066540154322;8724.808889743395
41;4.081379814632708;124211.86350314919;54;5.479116234472795;74673.82905947558
42;311.1534359329598;90614.85541211395;45;479.09440099007895;56262.11445682254
43;127.19772593252834;109823.67277876695;80;406.011116916418;59110.17470721128
44;249.2696402151542;111702.5672333196;28;351.06737038224145;70234.67970648131
45;81.11613299393508;113900.07637543327;1;110.88115743950465;76446.90764163803
46;194.4887391592827;105506.67084511658;92;457.918475118334;42965.69339942486
47;198.54443111504216;97244.80585441104;11;378.6715045201407;39023.37337302866
48;2.697833658421456;94437.74499445225;12;6.142989201522419;33370.85147686568
49;74.18450534481981;125791.96205135297;50;147.75269575559605;31617.501405979034
50;116.35238789512334;112094.54318196196;9;284.27897987743887;56129.476633239465
51;13.496778157042582;114520.61236407026;29;32.691853733139936;70695.11641438992
52;144.43981171691553;116202.13226489007;40;408.4407473827971;109525.23995678914
53;149.83381374784818;114870.93527137394;94;208.41699404561666;43143.430045984176
54;143.15210877100483;116413.87203808459;39;268.5167314015503;107971.83535344852
55;120.22325567377467;104693.09789101407;21;375.3050061149064;48358.63033404748
56;240.68287533245865;111312.16837080698;89;406.1672787143148;107591.33750688448
57;9.558693605235696;108040.12431660965;55;32.685972977109664;45873.36847295927
