;p_times;S_times;groups;d_dates;r_dates
0;45.77673590520874;29.797626634629044;81;257972.52013777487;241049.553596346
1;394.8035070680894;225.5855110831228;97;210809.22627240384;50313.50461596751
2;246.35995565754055;148.62166463653304;44;193929.84574511362;35578.29168785411
3;279.54487765592097;209.56079640626479;44;277710.6143378503;187507.37003138798
4;284.2253583764277;196.74063496490908;93;221280.12192014113;80013.19139862216
5;124.64965896399032;32.8979767880115;77;184392.65995830903;66024.82073057804
6;344.50229334638317;208.4802727736551;26;265983.7253621159;68868.6726727466
7;26.750529421698424;15.323505203754413;79;275246.798125755;7818.643835465505
8;39.91813450457337;17.371564947355285;78;279324.27679703187;209615.28477326484
9;50.722078372712346;35.08474297948682;64;207290.81131707918;136292.25717089706
10;85.35225501047412;57.32357632868033;3;266446.0956399793;166180.81206233872
11;132.0523023731848;95.80414894042474;51;275514.9645925271;179326.80073743797
12;499.804186057031;364.47414239334563;62;250507.36181261681;76858.78012724171
13;166.86764527949617;88.30480566872657;7;195299.43533298;123316.77646044621
14;38.19947993189664;18.58795438483775;77;208113.38138187744;117530.94666864115
15;273.910490167568;184.0608685910291;85;221259.84146374188;82119.22623269729
16;230.01283724866593;172.11216324315936;40;265471.24161298625;30559.71243484336
17;60.34157279220511;33.74907715367955;85;266293.9684081688;66790.41802761843
18;118.48116862523388;65.21569512336504;94;256200.59645658595;26507.464643507494
19;161.89318027281328;105.4245047233182;44;231714.59204408154;124619.16565591695
20;127.79460741897475;77.10779871075232;71;208430.160635576;155217.76873825255
21;359.42884406306007;115.22032984082404;15;186180.6180677318;129546.73708233896
22;354.37504823871626;132.7730981625683;67;179346.67432329737;5814.006676108137
23;236.78391810150504;145.25688957674046;78;235533.15873587303;22969.942744626154
24;229.77126114805424;100.73886462578658;77;237194.75154906992;14667.994530087539
25;499.77750593373634;257.5510950559045;34;234316.55068673712;194424.24079694663
26;433.5003399648899;318.36413180992747;51;203905.43826386696;64550.09210877495
27;432.1692747441567;164.70653750084276;92;217007.43908100942;133027.33943799057
28;155.62719849696;101.93874447966769;10;278272.87122688524;121666.8566845791
29;308.45130462968433;160.92514452731015;99;203559.68645175293;171995.72761946789
30;477.72979429566425;183.08407836805605;50;227653.34094693555;103487.56953743915
31;166.96711025055575;118.48536127764336;6;274921.67157197016;213202.55900038464
32;130.0096033706867;33.79097718773253;68;197402.3903323977;138337.03899359892
33;443.6668871002761;243.82806200443272;24;284165.131190332;259827.4882832028
34;192.47499123467506;83.31209592533597;51;264430.42637354654;220761.71060943048
35;489.195279086227;143.68930357847665;35;207321.4720572852;4563.198363823151
36;200.13745869490853;118.14532578209716;13;225720.63286958056;45792.74060247529
37;432.67871575976193;123.0169613474049;86;266051.6983613523;112815.53951693406
38;25.566557656547857;18.762701846460928;42;263067.19428509753;81417.18533489274
39;149.77770513554387;94.13813337526548;61;186520.04906156554;163016.67555450645
40;119.1002462067785;75.87333149785549;32;172810.72277855792;105453.01938860222
41;15.986182633388328;11.320234695101822;8;240335.81940959475;118109.60653728613
42;63.58696489956793;42.43571725470766;80;240224.61929864483;42778.51491265351
43;219.83605222994984;93.83594607261753;57;185521.51263704884;59089.75018067066
44;215.5239576639088;67.89261460076268;72;207756.33097407577;66487.87622543583
45;111.09286246405456;34.85677913277248;19;202262.61749446997;177644.63003656667
46;483.93055443333316;278.4837685985763;10;271785.0004425654;72618.05826861756
47;1.7285742533408486;0.5011331644012589;47;218935.16097770142;19280.35759721562
48;101.90856111324975;50.71805454834678;13;232287.13870078797;20262.243396423033
49;82.22319019210009;26.31491905563994;54;236543.77835793985;68586.71372243461
50;233.9609368820094;138.72332001785583;61;214736.39489317476;119614.87383743144
51;166.80804888760844;115.67203478599409;74;283620.64733156376;22577.323533019582
52;211.43690671364254;64.59696975633568;19;270204.9008915704;249637.37071868166
53;442.3127624478487;325.94500079191755;69;249805.35942836263;74143.1542533938
54;51.054527493465066;26.110756504600975;9;199954.2822142274;146135.21226914652
55;69.65961793798377;26.480053904841803;72;269051.13705853495;182949.36960150354
56;13.980106852953588;5.020812070622174;69;191256.89239952312;90557.60656008188
57;66.44434215520417;34.259223229234614;69;195542.71198834488;168521.6355355183
58;76.6980631193542;54.740849181933065;33;252700.75775176383;55675.69253288692
59;49.837532937768216;29.648946185096317;66;274265.09044873086;34025.96135591656
60;188.87258153854077;93.28060556238103;64;276837.7291581616;259409.83563293103
61;397.1020048010149;273.49094652064997;1;240680.61192927748;111223.34255480226
62;440.58379825567476;132.2891271738283;29;214547.836698399;176273.8807693836
63;211.88985311466234;64.06237047904607;4;251184.2548399273;197691.13073199076
64;495.9921654012039;320.03230307277926;95;266877.10240266443;127239.22409309079
65;469.8218110875402;151.0465391953599;81;211583.79254829092;118067.85966471233
66;140.64198390794726;90.30785799154303;82;254934.33833306798;197907.56722982755
67;345.6447224245591;154.8475119526256;67;211337.38267974497;42619.7072801311
68;368.339382156333;157.86295882889812;22;270508.96938002744;50293.07260913417
69;108.62892752543843;31.465559222857053;89;203764.25663258176;139459.82847731042
70;242.94027230588856;66.87669545508464;27;194760.3912405809;39335.33016318687
71;432.7357142643736;277.0173300764801;64;278937.42498449015;151028.78688331798
72;112.09579044004111;33.342499521825985;68;269566.7693123891;142023.0186821909
73;217.43874237636544;113.96791529436749;98;267551.11635716347;96994.93817460354
74;28.866814868802795;8.600506277461921;56;182745.66184435025;19996.42169857263
75;269.0029332572753;103.56498095604032;19;233342.90351004788;24453.613158457567
76;461.94915076710856;338.31698125288517;61;214274.81390923267;93180.955667275
77;306.24582237346294;204.31416924192737;25;230797.7221703587;75010.83799060987
78;2.318890076965503;0.9178149009209347;99;257282.99679486046;79142.99066815442
79;70.95363908858789;31.356683175784468;33;212711.02295056602;101629.54827038942
80;432.95912574228976;176.127207072471;80;212640.39332958453;63599.29568673566
81;491.86877066604933;226.27354915206658;1;265261.41446716496;141028.17820326478
82;116.31957546650834;52.783316656629175;2;273792.60095217533;39441.468802594085
83;69.45869480841823;21.93337054048964;97;240363.0952103836;67270.75050679168
84;168.96717977754227;60.77577512238607;17;276285.01999771054;248230.67436823263
85;380.0945768938071;109.82847849176551;42;247586.1408484194;182389.8224332752
86;78.25207205055528;38.57937080289022;90;175179.32886673548;23431.016525497664
87;25.17228106672739;7.1796200742946645;21;181341.20748516466;10372.445419439431
88;24.778786776502475;15.240225086115654;33;191221.19553442078;37583.4449337921
89;232.57643693066058;61.550831699476724;30;229660.06478301357;192357.14244593904
90;175.46520705989784;52.15364576656892;43;181063.87104757506;63303.580553633496
91;418.2972860993682;182.9719486732401;2;264801.41431517503;62594.201819135145
92;159.7736879135849;82.52822272768142;48;217070.03737366988;4508.500604169333
93;387.1068732864078;225.8846775437318;44;225670.79292842487;104726.28638496209
94;35.13272539316857;18.85872111828753;98;257264.74036899017;28928.468712972513
95;270.58527321169345;136.2687868704778;60;180271.23090235784;72542.15335513269
96;212.50289179503503;67.67951391242103;40;178062.0802201245;31279.15932636046
97;174.16464842773578;101.71266834497416;39;265067.518151476;137745.19814981948
98;2.497348477427013;1.447776362254118;95;273547.07567064324;272525.3095243852
