;p_times;S_times;groups;d_dates;r_dates
0;396.8046159064593;279.26513278631893;70;183320.2763932557;46906.39856547051
1;396.24794598916236;208.34894904166936;99;253359.05394131562;150712.80618252538
2;387.7157532916818;151.99780688385036;28;253696.9266767656;222822.69387481312
3;135.50136514964294;64.25409138097721;90;175822.61430879927;9369.306909012192
4;390.70047236282653;188.58384778099867;36;176244.42905828278;62674.877717183066
5;141.31208873248207;54.830240166932995;14;218870.25057951483;203175.804317787
6;233.3525610006087;162.3987714519737;17;245487.4711655498;212028.9410005134
7;96.59196320453124;54.65350600732125;66;232670.2208941748;18800.759974000794
8;379.4922708537824;132.61382772857732;19;227915.81716983812;103637.09482396487
9;360.10605507372685;180.5036329836797;20;243701.63168465503;89481.76375228587
10;328.33659889527183;150.63251584701854;90;219372.64224732373;82467.92092661695
11;138.2932963073214;93.2792895212161;28;200340.71777606508;76416.0150186854
12;30.98591095280362;22.48051526322082;36;269204.8492908912;115127.3524934886
13;393.5501228984834;109.15783318620828;27;227602.71202098485;204976.52229451193
14;499.8494035722932;148.41872292449108;64;216897.66480958887;194544.8513308916
15;486.351694723734;182.91001224315534;98;221083.21121477295;167040.4327067741
16;300.5471007114762;151.22904953391222;31;212070.9910734775;31812.402426109908
17;247.11662223504254;87.99893977843399;43;290074.3948905714;118488.66113765277
18;106.12703048969554;73.26519919334508;63;195782.07421014615;3382.567937625733
19;54.78250459337463;34.730243513699946;65;256267.71982983017;238886.09342531225
20;96.77276541631848;62.16683066425254;76;178353.833852457;95725.8821954916
21;479.251024183515;310.97479420483864;22;195101.449077244;35970.741792998466
22;114.47132817834333;82.24638050609205;87;206210.21739548587;181290.81939796396
23;282.024056814513;99.84110608413187;7;190386.17785913852;48556.99376515396
24;455.53735487587136;230.96879582133337;2;226775.81426793736;220027.52880221314
25;403.0414558886717;235.764920435765;57;219714.69725615488;8184.22446396736
26;300.1680095541236;92.32057773422851;60;240055.55326409594;225482.380972667
27;492.7985580595903;244.18012706341898;19;263935.8652033174;177972.28755935794
28;77.5345887788776;48.39446198633644;55;196082.71412850832;75949.49417467673
29;185.3499085164679;111.18598704537438;18;286851.27059715806;26287.535533769445
30;370.3039837538676;130.7192591840256;45;224676.09629402423;64463.71866075347
31;245.5367746192984;106.44137266511218;4;192909.0887098983;31134.372616032946
32;311.0175983371652;206.01469606935427;70;180314.9225048307;83162.18871392317
33;414.9376710836106;246.5288166244636;78;205833.13127704902;162176.4880659751
34;105.16077244924986;32.025871737487115;25;284261.90698251955;188605.29933250436
35;115.49251417177132;72.86868331093902;15;268654.52931411023;267451.32675398
36;147.11491626658153;97.53438024873596;4;206088.3067029216;143419.36472574083
37;393.8785704418572;104.8006217954945;86;226799.61241064753;110370.41936246527
38;102.34260610982638;52.887756255689304;9;222401.0262402003;177808.39986662785
39;439.56546113042594;200.67276377562567;73;261159.5450932114;196649.88522257737
40;215.82898630496427;98.84633771756627;33;278278.22127585224;45971.90079646639
41;162.69483069211782;101.27387909257881;99;188881.78253813492;159051.10628956874
42;300.1907668096299;124.1508748499615;23;191368.02054932032;144336.32657443965
