;S_times;d_dates;groups;p_times;r_dates
0;175.7706185660815;50503.35204164144;15;454.7051643407146;21024.252456123944
1;26.18964999123749;38297.59716634838;14;91.56911817811267;5347.624218104481
2;100.10626280901717;34885.64629187811;7;363.82123049479384;27428.100174955875
3;144.3785761313693;48304.53355313896;8;363.7408931968592;47201.75713129765
4;252.85634496456294;46734.86983182167;8;345.06611628613433;35641.73427276837
5;73.7999031221269;58246.385214624584;14;212.3473343305789;46442.91960652485
6;91.96273623102273;36059.69311954302;16;337.3100126002794;18103.728259967233
7;193.6505201476236;57132.88149869951;9;306.6104297711326;47507.922238700645
8;58.3133444353544;32171.919054860446;17;158.32302143977637;6308.304314400351
9;35.375650588482344;57187.999150157746;10;91.56598802298;37027.676698289666
10;248.4774085644648;46796.248931950744;0;351.3404159137453;32116.12310513499
11;37.52582079169311;34234.23247211774;3;85.66779984841538;20416.760068771287
12;265.2334092767606;61327.67461893134;3;410.99444260030134;46142.847086903115
13;4.578282729367842;59209.72187514034;3;17.23447418202496;38280.442839096235
14;45.93105117192278;31032.69934714742;14;120.90358684431556;27668.8095758107
15;278.9250689100332;49840.160615260356;5;466.87446763130515;25736.649052790523
16;139.84835416469303;32459.009437117973;18;275.889653823072;23865.12193887457
17;210.13366340093873;50539.01122914595;2;382.2945053681571;24994.803329168113
18;20.455053172155306;64253.7276111923;16;79.74731353140056;133.70021999841177
19;77.64957299041444;36348.94809242275;15;307.76228542692843;3899.7484087421526
20;24.35991657282291;50817.10069216432;6;45.90854507668932;23272.360973445167
21;125.61893544511571;39730.82564502702;12;347.76095690042325;3185.885378749068
22;149.0022928918055;39192.51282670077;4;307.14637306444473;10171.194538626492
23;179.01656780504524;36079.19257089517;13;365.41600972151696;15227.96048828291
24;314.2361879079776;37006.59892421431;1;473.35975322445194;34356.98052071995
25;210.32556162391842;47316.0206169521;2;302.91262781305136;3921.8263372575157
26;114.46408333931655;65645.4194552325;14;218.5030776062306;47096.5551370341
27;19.130714586248036;44893.680690092675;17;38.78184530398451;44161.37364433849
28;155.08910920897668;60201.38927465024;17;374.0125463152914;48523.894778614624
29;71.59622023199513;54522.71209259797;16;190.4412672206158;41168.53446050033
30;160.5801218579326;31644.11854050626;17;449.39950645627204;18458.00523024785
31;188.7362521282724;44955.31661535744;14;403.47345606339536;21176.23089786689
32;178.25997195198616;50418.94178268562;8;432.4794823496326;40399.45164455224
33;180.473272639645;34591.01963934955;3;323.20240313328605;8828.182286337013
34;192.51161817520483;31401.382081628224;10;394.7583615552059;27893.367343904232
35;11.937170466101097;31078.25478398551;17;37.297806723055146;11296.174204030609
36;36.9460513029333;39889.32434526381;5;116.32841323031249;21768.81930743568
37;148.15330448350716;49802.1277940618;0;294.69808182503294;6433.124227050285
38;184.51581463222877;44352.21480977574;5;383.9914697696154;8315.86653595688
39;186.7755943295432;31787.30411242065;7;379.72821425043406;22443.3317864736
40;138.23419558652492;57288.63144312418;14;458.5255990823901;40991.73359590259
