,Column 1,random order,unique_id,tabu tenure,first x,size,time binned,Goalfunction
0,0,False,10medium,10,1,medium,0,11460.603898000001
1,0,False,10medium,10,1,medium,1,11284.189922
2,0,False,10medium,10,1,medium,2,10981.350477
3,0,False,10medium,10,1,medium,3,10810.881195
4,0,False,10medium,10,1,medium,4,10621.197459
5,0,False,10medium,10,1,medium,5,10350.782251999999
6,0,False,10medium,10,1,medium,6,9848.309517200001
7,0,False,10medium,10,1,medium,7,9655.470307700001
8,0,False,10medium,10,1,medium,8,8912.2871637
9,0,False,10medium,10,1,medium,9,8343.9437353
10,0,False,10medium,10,1,medium,10,6239.129535100001
11,0,False,10medium,10,1,medium,11,3545.5511291999997
12,0,False,10medium,10,1,medium,12,1147.3032977
13,0,False,10medium,10,1,medium,13,350.02547453
14,0,False,10medium,10,1,medium,14,44.289045871000006
15,0,False,10medium,10,1,medium,15,0.0
16,0,False,10medium,10,1,medium,16,0.0
17,0,False,10medium,10,1,medium,17,0.0
18,0,False,10medium,10,1,medium,18,0.0
19,0,False,10medium,10,1,medium,19,0.0
20,0,False,10medium,10,1,medium,20,0.0
21,0,False,10medium,10,1,medium,21,0.0
22,0,False,10medium,10,1,medium,22,0.0
23,0,False,10medium,10,1,medium,23,0.0
24,0,False,10medium,10,1,medium,24,0.0
25,0,False,10medium,10,1,medium,25,0.0
26,0,False,10medium,10,1,medium,26,0.0
27,0,False,10medium,10,1,medium,27,0.0
28,0,False,10medium,10,1,medium,28,0.0
29,0,False,10medium,10,1,medium,29,0.0
30,0,False,10medium,10,1,medium,30,0.0
31,0,False,10medium,10,1,medium,31,0.0
32,0,False,10medium,10,1,medium,32,0.0
33,0,False,10medium,10,1,medium,33,0.0
34,0,False,10medium,10,1,medium,34,0.0
35,0,False,10medium,10,1,medium,35,0.0
36,0,False,10medium,10,1,medium,36,0.0
37,0,False,10medium,10,1,medium,37,0.0
38,0,False,10medium,10,1,medium,38,0.0
39,0,False,10medium,10,1,medium,39,0.0
40,0,False,10medium,10,1,medium,40,0.0
41,0,False,10medium,10,1,medium,41,0.0
42,0,False,10medium,10,1,medium,42,0.0
43,0,False,10medium,10,1,medium,43,0.0
44,0,False,10medium,10,1,medium,44,0.0
45,0,False,10medium,10,1,medium,45,0.0
46,0,False,10medium,10,1,medium,46,0.0
47,0,False,10medium,10,1,medium,47,0.0
48,0,False,10medium,10,1,medium,48,0.0
49,0,False,10medium,10,1,medium,49,0.0
50,0,False,10medium,10,1,medium,50,0.0
51,0,False,10medium,10,1,medium,51,0.0
52,0,False,10medium,10,1,medium,52,0.0
53,0,False,10medium,10,1,medium,53,0.0
